yblink,ybname
http://www.youtube.com/watch?v=CfOSDJx97v4&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=1,"
      Learn Korean Ep. 1: How to say ""Have to~"" in Korean
    "
http://www.youtube.com/watch?v=7ZxksamsZMs&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=2,"
      Learn Korean Ep. 2: Conjugating the ~요 form
    "
http://www.youtube.com/watch?v=cNh-Nb7m97k&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=3,"
      Learn Korean Ep. 3: ""Want~"" and ""Want to~""
    "
http://www.youtube.com/watch?v=FYURzkMEH6A&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=4,"
      Learn Korean Ep. 4: ""To be"" and ""To exist""
    "
http://www.youtube.com/watch?v=a29d6of_3mE&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=5,"
      Learn Korean Ep. 5: ""Also"" and ""Again""
    "
http://www.youtube.com/watch?v=eEf9agf7ILM&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=6,"
      Learn Korean Ep. 6: ""Already""
    "
http://www.youtube.com/watch?v=JuZjE9znp7E&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=7,"
      Learn Korean Ep. 7: Negative Sentences
    "
http://www.youtube.com/watch?v=c49XiAs97KU&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=8,"
      Learn Korean Ep. 8: ""To"" and ""from"" a person
    "
http://www.youtube.com/watch?v=UO37JB72QcM&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=9,"
      Learn Korean Ep. 9: Topic and Subject Markers
    "
http://www.youtube.com/watch?v=4IwwOdzmZ6Y&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=10,"
      Learn Korean Ep. 10: Nominalization
    "
http://www.youtube.com/watch?v=v7b3zoSYBjU&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=11,"
      Learn Korean Ep. 11: This, That, and That
    "
http://www.youtube.com/watch?v=TWaYRT7iugI&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=12,"
      Learn Korean Ep. 12: ""Only""
    "
http://www.youtube.com/watch?v=Rs0swb29EGE&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=13,"
      Learn Korean Ep. 13: ""Whether (or not)"" and ""If""
    "
http://www.youtube.com/watch?v=5xDOjubMmug&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=14,"
      Learn Korean Ep. 14: ""When"" and ""If""
    "
http://www.youtube.com/watch?v=nVXPwBdOA1Y&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=15,"
      Learn Korean Ep. 15: Past Tense
    "
http://www.youtube.com/watch?v=efLOIDUTlMo&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=16,"
      Learn Korean Ep. 16: Future Tense
    "
http://www.youtube.com/watch?v=6JAoev3gH0E&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=17,"
      Learn Korean Ep. 17: Plain Form
    "
http://www.youtube.com/watch?v=oU45Xp8ZE8w&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=18,"
      Learn Korean Ep. 18: The strong ""if""
    "
http://www.youtube.com/watch?v=XF2MIHtrsbM&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=19,"
      Learn Korean Ep. 19: Quotations and more
    "
http://www.youtube.com/watch?v=YYKKuFNhi7s&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=20,"
      Learn Korean Ep. 20: ""And""
    "
http://www.youtube.com/watch?v=n304B8vuskI&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=21,"
      Learn Korean Ep. 21: How to speak polite Korean
    "
http://www.youtube.com/watch?v=R9Zyoet7pDg&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=22,"
      Learn Korean Ep. 22: ""Because""
    "
